,word,y1,y2
1518,color,,
1519,skin,,
1520,minnesota,,
1521,iron,,
1522,magnific,,
1523,smith,,
1524,clock,,
1525,crise,,
1526,racial,,
1527,matt,,
1528,apprentic,,
1529,carpent,,
1530,labor,,
1531,apprenticeship,,
1532,wage,,
1533,learn,,
1534,rest,,
1535,practic,,
1536,receiv,,
1537,earn,,
1538,benefit,['care.virtue'],['care.virtue']
1539,usual,,
1540,pride,,
1541,career,,
1542,repeat,,
1543,warrant,,
1544,dad,,
1545,joey,,
1546,paycheck,,
1547,digniti,,
1548,kid,,
1549,eye,,
1550,honey,,
1551,lesson,['moral'],['moral']
1552,forgotten,,
1553,grew,,
1554,surround,,
1555,scranton,,
1556,claymont,,
1557,delawar,,
1558,gone,,
1559,steel,,
1560,grit,,
1561,metal,,
1562,folk,,
1563,barbarian,,
1564,gate,,
1565,decent,,
1566,everywher,,
1567,due,,
1568,abid,['authority.virtue'],['authority.virtue']
1569,distanc,,
1570,outlook,,
1571,uncertain,,
1572,worri,,
1573,mortgag,,
1574,rent,,
1575,check,,
1576,heap,,
1577,billionair,,
1578,ordinari,,
1579,unpreced,,
1580,pretend,,
1581,predict,,
1582,st,,
1583,per,,
1584,averag,,
1585,figur,,
1586,canada,,
1587,earlier,,
1588,zero,,
1589,unnecessarili,,
1590,stock,,
1591,reelect,,
1592,refus,['authority.vice'],['authority.vice']
1593,wear,,
1594,sanit,,
1595,estim,,
1596,scientist,,
1597,wore,,
1598,columbia,,
1599,tabl,,
1600,grandpa,,
1601,grandma,,
1602,bob,,
1603,woodward,,
1604,knew,,
1605,communic,,
1606,chair,,
1607,neglig,,
1608,selfish,,
1609,imagin,,
1610,handl,,
1611,sworn,,
1612,oblig,,
1613,park,,
1614,avenu,,
1615,metric,,
1616,dow,,
1617,jone,,
1618,clean,['sanctity.virtue'],['sanctity.virtue']
1619,bother,,
1620,reportedli,,
1621,sourc,,
1622,confirm,,
1623,outlet,,
1624,sucker,,
1625,loser,,
1626,mccain,,
1627,oppon,,
1628,hero,,
1629,iraq,,
1630,star,,
1631,proud,,
1632,patriot,['loyalty.virtue'],['loyalty.virtue']
1633,admit,,
1634,pretti,,
1635,obviou,,
1636,rel,,
1637,chip,,
1638,read,,
1639,columnist,,
1640,ivi,,
1641,leagu,,
1642,degre,,
1643,somehow,,
1644,qualifi,,
1645,wealthi,,
1646,return,,
1647,clue,,
1648,mother,['authority.virtue'],['authority.virtue']
1649,taught,,
1650,sibl,,
1651,equal,['fairness.virtue'],['fairness.virtue']
1652,size,,
1653,nose,,
1654,bust,,
1655,neck,,
1656,penni,,
1657,cloth,,
1658,roof,,
1659,duluth,,
1660,harmontown,,
1661,corner,,
1662,space,,
1663,shelv,,
1664,groceri,,
1665,store,,
